,eventid,iyear,imonth,iday,extended,country_txt,city,latitude,longitude,location,summary,crit1,crit2,crit3,alternative_txt,success,suicide,attacktype1,attacktype1_txt,targtype1,targtype1_txt,targsubtype1,targsubtype1_txt,corp1,target1,gname,guncertain1,nperps,nperpcap,claimed,weaptype1,weaptype1_txt,weapsubtype1,weapsubtype1_txt,weaptype2,weaptype2_txt,weapsubtype2,weapsubtype2_txt,weapdetail,nkill,nkillter,nwound,property,addnotes,scite1,scite2,scite3,related
563,201408280057,2014,8,28,0,Ukraine,Unknown,51.498457,31.288386,,"08/28/2014: Assailants opened fire on a police checkpoint in Chernihiv oblast, Ukraine. Six assailants were killed in the attack. No group claimed responsibility for the incident.",1,1,1,,1,0,2,Armed Assault,3,Police,24.0,Police Checkpoint,Militsiya,Checkpoint,Unknown,0.0,9.0,3.0,0.0,5,Firearms,5.0,Unknown Gun Type,,,,,,6.0,6.0,0.0,0,,"""Ukrainian law enforcers detain militants, defectors, deserters,"" Interfax-Ukraine, August 28, 2014.",,,
564,201408300044,2014,8,30,0,Ukraine,Unknown,48.015883,37.80285,,"08/30/2014: Assailants launched a missile at a military aircraft in Donetsk oblast, Ukraine. There were no reported casualties in the attack. The Donetsk People's Republic claimed responsibility for the incident.",1,1,0,Insurgency/Guerilla Action,1,0,3,Bombing/Explosion,4,Military,31.0,Military Aircraft,Ukrainian Air Force,Sukhoi Su-25 Aircraft,Donetsk People's Republic,0.0,-99.0,0.0,1.0,6,Explosives,11.0,"Projectile (rockets, mortars, RPGs, etc.)",,,,,A surface to air missile was used in the attack.,0.0,0.0,0.0,1,,"""Ukrainian fighter jet shot down in east,"" Malaysian Insider, August 30, 2014.","""Donetsk militia   shoot   down four Ukrainian assault planes,"" Philippines News Agency, August 30, 2014.","""Ukrainian jet downed by separatists,"" Turkish Weekly, August 30, 2014.",
565,201408300087,2014,8,30,0,Ukraine,Donetsk,47.981646999999995,37.762325,,"08/30/2014: Assailants opened fire on the residence of a Jewish civilian in Donetsk city, Donetsk oblast, Ukraine. The civilian and his bodyguard were killed in the attack. No group claimed responsibility for the incident; however, sources attributed the attack to the Donetsk People's Republic.",1,1,1,,1,0,2,Armed Assault,14,Private Citizens & Property,68.0,Named Civilian,Not Applicable,Civilian: George Zilberbord,Donetsk People's Republic,0.0,-99.0,0.0,0.0,5,Firearms,5.0,Unknown Gun Type,,,,,,2.0,0.0,0.0,-9,,"""Ukrainian Jew killed in Donetsk attack,"" JTA, September 4, 2014.","""Jewish Ukrainian killed in Donetsk,"" Jewish News Weekly, September 11, 2014.",,
566,201408310037,2014,8,31,0,Ukraine,Mariupol,47.117252,37.572659,,"08/31/2014: Assailants launched an artillery shell at a border patrol vessel near Mariupol city, Donetsk oblast, Ukraine. Seven border guards were injured in the attack. The Donetsk People's Republic claimed responsibility for the incident.",1,1,0,Insurgency/Guerilla Action,1,0,3,Bombing/Explosion,4,Military,39.0,Paramilitary,State Border Guard Service of Ukraine (DPSU),Border Patrol Vessel,Donetsk People's Republic,0.0,-99.0,0.0,1.0,6,Explosives,11.0,"Projectile (rockets, mortars, RPGs, etc.)",,,,,,,0.0,7.0,1,,"""7 injured, 2 missing after   attacks   on Ukrainian ships,"" Xinhua General News Service, September 1, 2014.","""Ukraine Says Naval Ship In Flames After Attack By Rebels,"" Radio Free Europe, August 31, 2014.","""Separatists hit Ukrainian vessel in first naval attack of war,"" Reuters UK, August 31, 2014.",
567,201408310092,2014,8,31,0,Ukraine,Ilovaisk,47.925907,38.200459,,"08/31/2014: Assailants ambushed military personnel in Ilovaisk town, Donetsk oblast, Ukraine. At least 87 soldiers were killed in the attack. No group claimed responsibility for the incident; however, sources attributed the attack to the Donetsk People's Republic.",1,1,0,Insurgency/Guerilla Action,1,0,3,Bombing/Explosion,4,Military,34.0,"Military Personnel (soldiers, troops, officers, forces)",Armed Forces of Ukraine,Soldiers,Donetsk People's Republic,0.0,-99.0,0.0,0.0,6,Explosives,11.0,"Projectile (rockets, mortars, RPGs, etc.)",,,,,,87.0,0.0,,1,,"""At least 87 Ukrainian soldiers killed in Ilovaysk battle: official,"" Agence France Presse -- English, September 3, 2014.","""Ukranian troops routed,"" Tempo, September 3, 2014.",,
568,201409010051,2014,9,1,0,Ukraine,Lutuhyne,48.406215,39.208,,"09/01/2014: Assailants attacked the Ukrainian army in Lutuhyne city, Luhansk oblast, Ukraine. Seventeen soldiers were killed or wounded in the clash. The Luhansk People's Republic claimed responsibility for the incident.",1,1,0,Insurgency/Guerilla Action,1,0,3,Bombing/Explosion,4,Military,34.0,"Military Personnel (soldiers, troops, officers, forces)",Armed Forces of Ukraine,Forces,Luhansk People's Republic,0.0,-99.0,0.0,1.0,6,Explosives,11.0,"Projectile (rockets, mortars, RPGs, etc.)",,,,,Artillery was used in the attack.,,0.0,,-9,,"""Ukraine   rebels   reportedly seize strategic location near Luhansk,"" BBC Monitoring Former Soviet Union - Political Supplied by BBC Worldwide Monitoring, September 1, 2014.",,,
569,201409020054,2014,9,2,0,Ukraine,Pobyeda,49.047934999999995,39.111871,,"09/02/2014: Rockets landed near Armed Forces of Ukraine soldiers and detonated outside of Pobyeda village, Luhansk oblast, Ukraine. There were no reported casualties in the blasts. No group claimed responsibility for the attack.",1,1,0,Insurgency/Guerilla Action,1,0,3,Bombing/Explosion,4,Military,34.0,"Military Personnel (soldiers, troops, officers, forces)",Armed Forces of Ukraine,Soldiers,Unknown,0.0,-99.0,0.0,0.0,6,Explosives,11.0,"Projectile (rockets, mortars, RPGs, etc.)",,,,,Rockets were used in the attack.,0.0,0.0,0.0,-9,,"""Ukraine says cross-border shelling increases, Russian radar deployed to Luhansk,"" BBC Monitoring Kiev Unit Supplied by BBC Worldwide Monitoring, September 4, 2014.","""'Terrorists' in Russian uniform fire on Ukrainian medical convoys - spokesman,"" 5 Kanal TV, September 2, 2014.",,
570,201409040026,2014,9,4,0,Ukraine,Shryokyne,47.098835,37.81987,,"09/04/2014: Assailants fired artillery at the town of Shryokyne in Donetsk Oblast, Ukraine. Three civilians were killed in the attack. No group claimed responsibility for the incident.",1,1,1,,1,0,3,Bombing/Explosion,14,Private Citizens & Property,75.0,Village/City/Town/Suburb,Shryokyne Town,Town,Unknown,0.0,-99.0,0.0,0.0,6,Explosives,11.0,"Projectile (rockets, mortars, RPGs, etc.)",,,,,Artillery was used in the attack.,3.0,0.0,0.0,0,,"""As combat rages, Mariupol residents wary of ceasefire,"" Agence France Presse -- English, September 5, 2014.","""Fighting rages in E. Ukraine despite peace talks,"" Xinhua General News Service, September 5, 2014.",,
571,201409040044,2014,9,4,0,Ukraine,Spartak,48.077602,37.778683,,"09/04/2014: Assailants attacked a school being used as a shelter in Spartak village, Donetsk oblast, Ukraine. No further information is available.",1,1,1,,1,0,9,Unknown,14,Private Citizens & Property,65.0,Refugee (including Camps/IDP/Asylum Seekers),Unknown,Internally Displaced Persons (IDP) Shelter,Unknown,0.0,-99.0,0.0,0.0,13,Unknown,,,,,,,,0.0,0.0,0.0,-9,,"""Ukranian army on high alert as pro-Russian militia close in on key port city of Mariupol,"" EuroNews, September 4, 2014.",,,
572,201409040058,2014,9,4,0,Ukraine,Donetsk,47.981646999999995,37.762325,The incident occurred in the Hladovka neighborhood,"09/04/2014: Assailants fired shells at Hladovka neighborhood, Donetsk city, Donetsk oblast, Ukraine. Five civilians were killed and nine others were wounded in the attack. No group claimed responsibility for the incident.",1,1,1,,1,0,3,Bombing/Explosion,14,Private Citizens & Property,75.0,Village/City/Town/Suburb,Hladovka Neighborhood,Neighborhood,Unknown,0.0,-99.0,0.0,0.0,6,Explosives,11.0,"Projectile (rockets, mortars, RPGs, etc.)",,,,,,5.0,0.0,9.0,1,,"""Fighting rages in Ukraine's eastern hotpots despite truce talks,"" Agence France Presse -- English, September 5, 2014.",,,
